"State Historical Tables for 2017
Released: September 2018
Next Update: November 2019",,,,
YEAR,STATE,TYPE OF PRODUCER,ENERGY SOURCE              (UNITS),CONSUMPTION for ELECTRICITY
1990,AK,Total Electric Power Industry,Coal (Short Tons),"404,871"
1990,AK,Total Electric Power Industry,Petroleum (Barrels),"961,837"
1990,AK,Total Electric Power Industry,Natural Gas (Mcf),"42,764,948"
1990,AK,"Electric Generators, Electric Utilities",Coal (Short Tons),"290,182"
1990,AK,"Electric Generators, Electric Utilities",Petroleum (Barrels),"657,706"
1990,AK,"Electric Generators, Electric Utilities",Natural Gas (Mcf),"34,366,142"
1990,AK,"Combined Heat and Power, Commercial Power",Coal (Short Tons),"114,689"
1990,AK,"Combined Heat and Power, Commercial Power",Petroleum (Barrels),"112,409"
1990,AK,"Combined Heat and Power, Industrial Power",Petroleum (Barrels),"191,722"
1990,AK,"Combined Heat and Power, Industrial Power",Natural Gas (Mcf),"8,398,806"
1990,AL,Total Electric Power Industry,Coal (Short Tons),"22,242,353"
1990,AL,Total Electric Power Industry,Petroleum (Barrels),"249,875"
1990,AL,Total Electric Power Industry,Natural Gas (Mcf),"10,401,790"
1990,AL,Total Electric Power Industry,Other Gases (Billion BTU),"3,473"
1990,AL,"Electric Generators, Electric Utilities",Coal (Short Tons),"22,010,160"
1990,AL,"Electric Generators, Electric Utilities",Petroleum (Barrels),"132,744"
1990,AL,"Electric Generators, Electric Utilities",Natural Gas (Mcf),"4,090,291"
1990,AL,"Combined Heat and Power, Electric Power",Coal (Short Tons),"16,681"
1990,AL,"Combined Heat and Power, Electric Power",Natural Gas (Mcf),"320,132"
1990,AL,"Combined Heat and Power, Industrial Power",Coal (Short Tons),"215,512"
1990,AL,"Combined Heat and Power, Industrial Power",Petroleum (Barrels),"117,131"
1990,AL,"Combined Heat and Power, Industrial Power",Natural Gas (Mcf),"5,991,367"
1990,AL,"Combined Heat and Power, Industrial Power",Other Gases (Billion BTU),"3,473"
1990,AR,Total Electric Power Industry,Coal (Short Tons),"11,864,395"
1990,AR,Total Electric Power Industry,Petroleum (Barrels),"169,098"
1990,AR,Total Electric Power Industry,Natural Gas (Mcf),"47,846,352"
1990,AR,"Electric Generators, Electric Utilities",Coal (Short Tons),"11,835,959"
1990,AR,"Electric Generators, Electric Utilities",Petroleum (Barrels),"154,987"
1990,AR,"Electric Generators, Electric Utilities",Natural Gas (Mcf),"32,090,488"
1990,AR,"Combined Heat and Power, Commercial Power",Petroleum (Barrels),"3,131"
1990,AR,"Combined Heat and Power, Commercial Power",Natural Gas (Mcf),"311,753"
1990,AR,"Combined Heat and Power, Industrial Power",Coal (Short Tons),"28,436"
1990,AR,"Combined Heat and Power, Industrial Power",Petroleum (Barrels),"10,980"
1990,AR,"Combined Heat and Power, Industrial Power",Natural Gas (Mcf),"15,444,111"
1990,AZ,Total Electric Power Industry,Coal (Short Tons),"15,898,916"
1990,AZ,Total Electric Power Industry,Petroleum (Barrels),"258,220"
1990,AZ,Total Electric Power Industry,Natural Gas (Mcf),"24,942,405"
1990,AZ,"Electric Generators, Electric Utilities",Coal (Short Tons),"15,758,367"
1990,AZ,"Electric Generators, Electric Utilities",Petroleum (Barrels),"210,097"
1990,AZ,"Electric Generators, Electric Utilities",Natural Gas (Mcf),"24,277,944"
1990,AZ,"Combined Heat and Power, Commercial Power",Petroleum (Barrels),"2,661"
1990,AZ,"Combined Heat and Power, Commercial Power",Natural Gas (Mcf),"292,670"
1990,AZ,"Combined Heat and Power, Industrial Power",Coal (Short Tons),"140,549"
1990,AZ,"Combined Heat and Power, Industrial Power",Petroleum (Barrels),"45,462"
1990,AZ,"Combined Heat and Power, Industrial Power",Natural Gas (Mcf),"371,791"
1990,CA,Total Electric Power Industry,Coal (Short Tons),"1,251,133"
1990,CA,Total Electric Power Industry,Petroleum (Barrels),"9,288,962"
1990,CA,Total Electric Power Industry,Natural Gas (Mcf),"667,785,646"
1990,CA,Total Electric Power Industry,Other Gases (Billion BTU),"14,375"
1990,CA,"Electric Generators, Electric Utilities",Petroleum (Barrels),"7,357,836"
1990,CA,"Electric Generators, Electric Utilities",Natural Gas (Mcf),"456,405,669"
1990,CA,"Electric Generators, Independent Power Producers",Coal (Short Tons),"90,140"
1990,CA,"Electric Generators, Independent Power Producers",Petroleum (Barrels),"878,400"
1990,CA,"Electric Generators, Independent Power Producers",Natural Gas (Mcf),"4,355,000"
1990,CA,"Electric Generators, Independent Power Producers",Other Gases (Billion BTU),4
1990,CA,"Combined Heat and Power, Electric Power",Coal (Short Tons),"759,452"
1990,CA,"Combined Heat and Power, Electric Power",Petroleum (Barrels),"15,634"
1990,CA,"Combined Heat and Power, Electric Power",Natural Gas (Mcf),"118,481,772"
1990,CA,"Combined Heat and Power, Commercial Power",Petroleum (Barrels),"17,555"
1990,CA,"Combined Heat and Power, Commercial Power",Natural Gas (Mcf),"11,789,203"
1990,CA,"Combined Heat and Power, Commercial Power",Other Gases (Billion BTU),"1,231"
1990,CA,"Combined Heat and Power, Industrial Power",Coal (Short Tons),"401,541"
1990,CA,"Combined Heat and Power, Industrial Power",Petroleum (Barrels),"1,019,537"
1990,CA,"Combined Heat and Power, Industrial Power",Natural Gas (Mcf),"76,754,002"
1990,CA,"Combined Heat and Power, Industrial Power",Other Gases (Billion BTU),"13,140"
1990,CO,Total Electric Power Industry,Coal (Short Tons),"16,019,294"
1990,CO,Total Electric Power Industry,Petroleum (Barrels),"54,167"
1990,CO,Total Electric Power Industry,Natural Gas (Mcf),"12,401,451"
1990,CO,"Electric Generators, Electric Utilities",Coal (Short Tons),"15,923,695"
1990,CO,"Electric Generators, Electric Utilities",Petroleum (Barrels),"49,935"
1990,CO,"Electric Generators, Electric Utilities",Natural Gas (Mcf),"5,485,414"
1990,CO,"Electric Generators, Independent Power Producers",Natural Gas (Mcf),"1,214,000"
1990,CO,"Combined Heat and Power, Electric Power",Coal (Short Tons),"95,599"
1990,CO,"Combined Heat and Power, Electric Power",Natural Gas (Mcf),"5,123,445"
1990,CO,"Combined Heat and Power, Industrial Power",Petroleum (Barrels),"4,232"
1990,CO,"Combined Heat and Power, Industrial Power",Natural Gas (Mcf),"578,592"
1990,CT,Total Electric Power Industry,Coal (Short Tons),"1,455,002"
1990,CT,Total Electric Power Industry,Petroleum (Barrels),"14,515,654"
1990,CT,Total Electric Power Industry,Natural Gas (Mcf),"11,201,180"
1990,CT,Total Electric Power Industry,Other Gases (Billion BTU),0
1990,CT,"Electric Generators, Electric Utilities",Coal (Short Tons),"957,657"
1990,CT,"Electric Generators, Electric Utilities",Petroleum (Barrels),"14,090,189"
1990,CT,"Electric Generators, Electric Utilities",Natural Gas (Mcf),"4,842,691"
1990,CT,"Combined Heat and Power, Electric Power",Coal (Short Tons),"497,345"
1990,CT,"Combined Heat and Power, Electric Power",Petroleum (Barrels),"64,767"
1990,CT,"Combined Heat and Power, Electric Power",Natural Gas (Mcf),"5,443,480"
1990,CT,"Combined Heat and Power, Electric Power",Other Gases (Billion BTU),0
1990,CT,"Combined Heat and Power, Commercial Power",Petroleum (Barrels),"39,057"
1990,CT,"Combined Heat and Power, Commercial Power",Natural Gas (Mcf),"850,732"
1990,CT,"Combined Heat and Power, Industrial Power",Petroleum (Barrels),"321,641"
1990,CT,"Combined Heat and Power, Industrial Power",Natural Gas (Mcf),"64,277"
1990,DC,Total Electric Power Industry,Coal (Short Tons),0
1990,DC,Total Electric Power Industry,Petroleum (Barrels),"870,797"
1990,DC,"Electric Generators, Electric Utilities",Petroleum (Barrels),"870,797"
1990,DC,"Combined Heat and Power, Commercial Power",Coal (Short Tons),0
1990,DE,Total Electric Power Industry,Coal (Short Tons),"2,186,303"
1990,DE,Total Electric Power Industry,Petroleum (Barrels),"4,266,440"
1990,DE,Total Electric Power Industry,Natural Gas (Mcf),"10,803,181"
1990,DE,Total Electric Power Industry,Other Gases (Billion BTU),"1,985"
1990,DE,"Electric Generators, Electric Utilities",Coal (Short Tons),"2,056,359"
1990,DE,"Electric Generators, Electric Utilities",Petroleum (Barrels),"3,509,696"
1990,DE,"Electric Generators, Electric Utilities",Natural Gas (Mcf),"10,775,808"
1990,DE,"Combined Heat and Power, Industrial Power",Coal (Short Tons),"129,944"
1990,DE,"Combined Heat and Power, Industrial Power",Petroleum (Barrels),"756,744"
1990,DE,"Combined Heat and Power, Industrial Power",Natural Gas (Mcf),"27,373"
1990,DE,"Combined Heat and Power, Industrial Power",Other Gases (Billion BTU),"1,985"
1990,FL,Total Electric Power Industry,Coal (Short Tons),"24,458,736"
1990,FL,Total Electric Power Industry,Petroleum (Barrels),"41,401,921"
1990,FL,Total Electric Power Industry,Natural Gas (Mcf),"200,576,189"
1990,FL,"Electric Generators, Electric Utilities",Coal (Short Tons),"24,022,157"
1990,FL,"Electric Generators, Electric Utilities",Petroleum (Barrels),"40,620,360"
1990,FL,"Electric Generators, Electric Utilities",Natural Gas (Mcf),"189,148,212"
1990,FL,"Electric Generators, Independent Power Producers",Petroleum (Barrels),"3,810"
